id,type,title,url,slug,words,h1_count,h2_count,h3_count,images,internal_links,faq_count,date,modified,heading_fingerprint,problem_categories,notes
10856,post,شركة تنظيف منازل بالرياض,https://www.rukn-eltatawer.com/sa/home-cleaning-riyadh/,home-cleaning-riyadh,1114,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
10858,post,شركة تنظيف فلل بالرياض,https://www.rukn-eltatawer.com/sa/villa-cleaning-riyadh/,villa-cleaning-riyadh,1109,0,15,6,2,22,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
10857,post,شركة تنظيف شقق بالرياض,https://www.rukn-eltatawer.com/sa/apartment-cleaning-riyadh/,apartment-cleaning-riyadh,1106,0,15,6,2,22,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12392,post,شركة تركيب عشب صناعي بالرياض,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-riyadh/,artificial-grass-grdn-riyadh,1102,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
12394,post,شركة تركيب عشب صناعي بمكة المكرمة,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-mecca/,artificial-grass-grdn-mecca,1093,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12393,post,شركة تركيب عشب صناعي بجدة,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-jeddah/,artificial-grass-grdn-jeddah,1126,0,15,6,2,21,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
12395,post,شركة تركيب عشب صناعي بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-medina/,artificial-grass-grdn-medina,1098,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
12397,post,شركة تركيب عشب صناعي بالخبر,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-khobar/,artificial-grass-grdn-khobar,1117,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
12396,post,شركة تركيب عشب صناعي بالدمام,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-dammam/,artificial-grass-grdn-dammam,1124,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12398,post,شركة تركيب عشب صناعي بالطائف,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-taif/,artificial-grass-grdn-taif,1117,0,15,6,2,21,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
12400,post,شركة تركيب عشب جداري بالرياض,https://www.rukn-eltatawer.com/sa/wall-grass-riyadh/,wall-grass-riyadh,1098,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12399,post,شركة تركيب عشب صناعي بأبها,https://www.rukn-eltatawer.com/sa/artificial-grass-grdn-abha/,artificial-grass-grdn-abha,1126,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12401,post,شركة تركيب عشب جداري بجدة,https://www.rukn-eltatawer.com/sa/wall-grass-jeddah/,wall-grass-jeddah,1138,0,15,6,2,21,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
12403,post,شركة تركيب عشب جداري بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/wall-grass-medina/,wall-grass-medina,1109,0,15,6,2,21,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
12402,post,شركة تركيب عشب جداري بمكة المكرمة,https://www.rukn-eltatawer.com/sa/wall-grass-mecca/,wall-grass-mecca,1104,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12405,post,شركة تركيب عشب جداري بالخبر,https://www.rukn-eltatawer.com/sa/wall-grass-khobar/,wall-grass-khobar,1120,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
12404,post,شركة تركيب عشب جداري بالدمام,https://www.rukn-eltatawer.com/sa/wall-grass-dammam/,wall-grass-dammam,1118,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12407,post,شركة تركيب عشب جداري بأبها,https://www.rukn-eltatawer.com/sa/wall-grass-abha/,wall-grass-abha,1126,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12406,post,شركة تركيب عشب جداري بالطائف,https://www.rukn-eltatawer.com/sa/wall-grass-taif/,wall-grass-taif,1113,0,15,6,2,21,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
11056,post,شركة تنظيف مراتب بأبها,https://www.rukn-eltatawer.com/sa/mattress-cleaning-abha/,mattress-cleaning-abha,1131,0,15,6,2,22,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
11044,post,شركة تنظيف مدارس وحضانات بأبها,https://www.rukn-eltatawer.com/sa/school-nursery-cleaning-abha/,school-nursery-cleaning-abha,1146,0,15,6,2,22,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
11048,post,شركة تنظيف مطابخ بأبها,https://www.rukn-eltatawer.com/sa/kitchen-cleaning-abha/,kitchen-cleaning-abha,1121,0,15,6,2,22,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
11045,post,شركة تنظيف مستشفيات وعيادات بأبها,https://www.rukn-eltatawer.com/sa/hospital-clinic-cleaning-abha/,hospital-clinic-cleaning-abha,1145,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
11053,post,شركة تنظيف موكيت بأبها,https://www.rukn-eltatawer.com/sa/moquette-cleaning-abha/,moquette-cleaning-abha,1121,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
11042,post,شركة تنظيف مكاتب بأبها,https://www.rukn-eltatawer.com/sa/office-cleaning-abha/,office-cleaning-abha,1123,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
11059,post,شركة تنظيف واجهات حجرية بأبها,https://www.rukn-eltatawer.com/sa/stone-facade-cleaning-abha/,stone-facade-cleaning-abha,1156,0,15,6,2,22,0,2026-09-13,2026-09-13,a0884c8730de8bd4|n=12,ok,
11058,post,شركة تنظيف واجهات زجاجية بأبها,https://www.rukn-eltatawer.com/sa/glass-facade-cleaning-abha/,glass-facade-cleaning-abha,1146,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
12801,post,شركة شحن سيارات بجدة,https://www.rukn-eltatawer.com/sa/car-shipping-jeddah/,car-shipping-jeddah,1097,0,15,6,2,21,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,intent_mismatch,عنوان شحن سيارات بينما النص يعامل الخدمة كخدمة منزل/عقار
11062,post,شركة تنظيف وصيانة دكتات المكيفات بأبها,https://www.rukn-eltatawer.com/sa/duct-cleaning-abha/,duct-cleaning-abha,1154,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
10933,post,شركة تنظيف المداخن والشفاطات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/chimney-cleaning-mecca/,chimney-cleaning-mecca,1111,0,15,6,2,22,0,2026-09-13,2026-09-13,5d2b2e23426d7bea|n=12,ok,
10925,post,شركة تنظيف ستائر بمكة المكرمة,https://www.rukn-eltatawer.com/sa/curtain-cleaning-mecca/,curtain-cleaning-mecca,1105,0,15,6,2,22,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
12794,post,شركة شحن أثاث بمكة المكرمة,https://www.rukn-eltatawer.com/sa/furniture-shipping-mecca/,furniture-shipping-mecca,1086,0,15,6,2,21,0,2026-09-13,2026-09-13,ae71e95ec3831c1d|n=12,ok,
